ID,Rep,Landmark,X,Y
Leaf_7a,2,3,10.676,23.159
Leaf_7a,2,4,11.669,23.415
Leaf_7a,2,5,11.323,22.154
Leaf_7a,2,6,8.881,22.024
Leaf_7a,2,7,13.796,22.293
Leaf_7a,2,8,9.708,20.38
Leaf_7a,2,9,13.305,21.369
Leaf_7a,2,10,9.92,23.352
Leaf_7a,2,11,12.791,23.399
Leaf_7a,2,12,10.429,22.841
Leaf_7a,2,13,12.053,22.891
Leaf_7a,2,14,10.119,21.949
Leaf_7a,2,15,12.371,21.81
